status,tagline,title,vote_average,vote_count
Released,The System Must Pay.,Law Abiding Citizen,7.2,1486
Released,A double feature that'll tear you in two!,Grindhouse,6.8,459
Released,The past has a life of its own.,Beloved,5.9,26
Released,Change your game. Change your life.,Lucky You,5.4,81
Released,The true story of a real fake.,Catch Me If You Can,7.7,3795
Released,The Greatest Manhunt in History,Zero Dark Thirty,6.7,1702
Released,. . . pick a side.,The Break-Up,5.6,832
Released,Take a trip down the aisle you'll never forget,Mamma Mia!,6.4,1386
Released,A Love Story. More or Less.,Valentine's Day,5.7,1013
Released,Cousins. Outlaws. Thrillbillies.,The Dukes of Hazzard,5.1,316
Released,Every man fights his own war.,The Thin Red Line,7.2,771
Released,Who says men can't change?,The Change-Up,5.9,736
Released,"Hello, my name is Andy and this is my movie.",Man on the Moon,6.9,435
Released,No one stays at the top forever.,Casino,7.8,1307
Released,Two agents. One city. No merci.,From Paris with Love,6.1,675
Released,A power beyond measure requires a protector without equal.,Bulletproof Monk,5.1,278
Released,From gentle to mental.,"Me, Myself & Irene",6.1,927
Released,What happens in the barn stays in the barn,Barnyard,5.3,225
Released,There glows the neighborhood,Deck the Halls,5.1,109
Released,The Next Chapter Begins.,The Twilight Saga: New Moon,5.6,2436
Released,The greatest fairy tale never told.,Shrek,7.3,4056
Released,Fight for your fate.,The Adjustment Bureau,6.5,1652
Released,"For the good of all men, and the love of one woman, he fought to uphold justice by breaking the law.",Robin Hood: Prince of Thieves,6.6,909
Released,Everybody loved him... Everybody disappeared.,Jerry Maguire,6.7,913
Released,Ted is coming.,Ted,6.3,4697
Released,A comedy from the heart that goes for the throat.,As Good as It Gets,7.2,915
Released,Laughter is contagious,Patch Adams,7,832
Released,It's kind of a big deal,Anchorman 2: The Legend Continues,6,923
Released,"Small town kid, big time right hook.",Mr. Deeds,5.6,644
Released,It Arrives.,Super 8,6.6,2435
Released,She brought a small town to its feet and a huge corporation to its knees.,Erin Brockovich,7.1,716
Released,One of them is lying. So is the other.,How to Lose a Guy in 10 Days,6.3,850
Released,They're not 21 anymore,22 Jump Street,7,3319
Released,Drink from me and live forever,Interview with the Vampire,7.2,1516
Released,One Word Can Change Everything.,Yes Man,6.4,1813
Released,Saving the world takes a little Hart and a big Johnson,Central Intelligence,6.2,1650
Released,Be there for the joy. Be there for the tears. Be there for each other.,Stepmom,6.9,277
Released,Choose your Daddy,Daddy's Home,5.8,854
Released,Be careful what you wish for...,Into the Woods,5.6,1652
Released,It looked like the perfect bank robbery. But you can't judge a crime by its cover.,Inside Man,7.3,1630
Released,No More Mr. Nice Guy.,Payback,6.7,548
Released,Where you are the endangered species.,Congo,5,213
Released,A True Zoo Story,We Bought a Zoo,6.5,909
"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Knowing is everything...,Knowing,5.9
Released,"To leave the nest, some men just need a little push.",Failure to Launch,5.5,399
Released,The dead don't sleep.,The Ring Two,5.4,632
Released,This Is Stupid,"Crazy, Stupid, Love.",7,2443
Released,Get ready for frisky business.,Garfield,5.2,820
Released,No! Ho! Ho!,Christmas with the Kranks,5.2,193
Released,What are you really worth?,Moneyball,7,1381
Released,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.,Outbreak,6.3,513
Released,The hijacking was just the beginning.,Non-Stop,6.8,2268
Released,The race is on,Race to Witch Mountain,5.5,509
Released,People should not be afraid of their governments. Governments should be afraid of their people.,V for Vendetta,7.7,4442
Released,A Royal Kick In The Arse.,Shanghai Knights,6,692
Released,Get Carried Away With The Cutest Little Monkey Around!,Curious George,6.2,106
Released,Start your engines...,Herbie Fully Loaded,5.1,542
Released,...I'll never tell.,Don't Say a Word,6,220
Released,Classic tale. New twist.,Hansel & Gretel: Witch Hunters,5.7,3239
Released,Where do you go when you've gone too far?,Unfaithful,6.3,276
Released,Three like him have already been killed��_he is Number Four.,I Am Number Four,5.9,1567
Released,Everything is connected.,Syriana,6.3,451
Released,"When everything went wrong, six men had the courage to do what was right.",13 Hours: The Secret Soldiers of Benghazi,7,938
Released,,The Book of Life,7.3,755
Released,Nothing Is More Dangerous Than A Man With Everything To Lose.,Firewall,5.6,267
Released,Corrupts Absolutely.,Absolute Power,6.4,223
Released,Failure is not an option.,G.I. Jane,6,395
Released,What do you get for the man who has everything?,The Game,7.5,1506
Released,We've been expecting you.,Silent Hill,6.3,1067
Released,Throw the ball. Catch the girl. Keep it simple.,The Replacements,6.1,203
Released,Save the best piece for last.,American Reunion,6.1,1611
Released,He frees hostages for a living. Now he's taking hostages to survive.,The Negotiator,6.8,582
Released,Prepare to go,Into the Storm,5.8,817
Released,,Beverly Hills Cop III,5.5,434
Released,Here they grow again.,Gremlins 2: The New Batch,6.2,652
Released,Defend your Honor.,The Judge,7.2,1417
Released,How do you get the world's attention?,The Peacemaker,5.8,255
Released,You're all going to die.,Resident Evil: Apocalypse,6.1,1267
Released,Same Bridget. Brand new diary.,Bridget Jones: The Edge of Reason,6.1,750
Released,The Clock Is Ticking...,Out of Time,6.1,298
Released,His Battle To Save The Alaskan Wilderness And Protect Its People Can Only Be Won...,On Deadly Ground,4.5,104
Released,Smaller heroes. Just as super.,The Adventures of Sharkboy and Lavagirl,4.4,269
Released,Somewhere on this planet it must exist.,The Beach,6.3,1233
Released,Her uptown life gets turned inside out!,Raising Helen,5.9,189
Released,"Fear not the weapon, but the hand that wields it.",Ninja Assassin,6.2,371
Released,Billy Chapel must choose between the woman he loves and the game he lives for.,For Love of the Game,6.3,88
Released,Some People Get Into Trouble No Matter What They WEAR.,Striptease,4.4,205
Released,Live Large,Marmaduke,5,149
Released,Touched by death. Changed by life.,Hereafter,5.8,510
Released,The only flaw in their plan was her.,Murder by Numbers,6,268
Released,"In the shadows of life, In the business of death, One man found a reason to live...",Assassins,6,387
Released,It started with revenge.,Hannibal Rising,6,654
Released,,The Story of Us,5.9,75
Released,You will be one of us,The Host,6,1817
Released,Deception is their most deadly weapon.,Basic,6.2,286
Released,He's a heartbeat away from catching the killer,Blood Work,6.1,206
Released,Is your money making a killing?,The International,6,368
Released,Snake Is Back.,Escape from L.A.,5.6,373
Released,It came from outer space!,The Iron Giant,7.6,1436
Released,"The deeper you go, the weirder life gets.",The Life Aquatic with Steve Zissou,7.1,775
Released,Based on the incredible true story.,Free State of Jones,6.6,428
Released,The crime is clear. The truth is not.,The Life of David Gale,7.3,480
Released,Protecting witnesses is a challenge. Living with them is impossible.,Man of the House,5.4,120
Released,No sin goes unpunished,Run All Night,6.3,1148
Released,Every sin leaves a mark.,Eastern Promises,7.2,848
Released,Treasure has its price.,Into the Blue,5.8,458
Released,Get your quest on.,Your Highness,5.2,501
Released,"Once upon a time, there were two little girls who lived in a house.",Dream House,5.8,391
Released,One man will make a mistake. The other will make it a spectacle.,Mad City,5.9,81
Released,No bib. No crib. No problem.,Baby's Day Out,5.8,274
Released,"When intimacy is forbidden and passion is a sin, love is the most defiant crime of all.",The Scarlet Letter,5.5,108
Released,Wife. Mother. Spy.,Fair Game,6.5,235
Released,Heads You Live... Tails You Die.,Domino,6,444
Released,Some fantasies go too far.,Jade,5.2,44
Released,"In the near future, you don't live to play... you'll play to live.",Gamer,5.6,760
Released,Dark secrets will come to light.,Beautiful Creatures,5.6,984
Released,Get ready for an unexpected hit.,Death to Smoochy,5.9,132
Released,Long time no Z,Zoolander 2,4.7,797
Released,It's all in who you trust,The Big Bounce,5,76
Released,"To save his planet, an alien must find a woman on Earth to have his baby. There's just one problem.",What Planet Are You From?,5.4,37
Released,One hell of a ride.,Drive Angry,5.3,600
Released,Some fight for power. Some fight for us.,Street Fighter: The Legend of Chun-Li,3.9,112
Released,Stealing the power of the universes one by one.,The One,5.7,437
Released,Kojak. Columbo. Dirty Harry. Wimps.,The Adventures of Ford Fairlane,6.2,71
Released,On air. Off shore. Out of control.,The Boat That Rocked,7.2,666
Released,No one gets away clean,Traffic,6.9,562
Released,"The man with the hat is back. And this time, he's bringing his Dad.",Indiana Jones and the Last Crusade,7.6,3152
Released,An epic story of love.,Anna Karenina,6.5,639
Released,I am consciousness. I am alive. I am Chappie.,Chappie,6.6,3062
Released,Serial killer vs. forensic genius,The Bone Collector,6.5,826
Released,,Panic Room,6.5,1267
Released,It's good to be King.,Three Kings,6.6,692
Released,How do you find a killer who doesn�۪t exist?,Child 44,6.1,547
Released,563 miles. 9 people. $2 million. 1001 problems!,Rat Race,6,518
Released,Change the way you look at the world.,K-PAX,7.1,695
Released,If they lived in the same century they'd be perfect for each other.,Kate & Leopold,6,418
Released,Meet the Devil. She's giving Elliott seven wishes. But not a chance in Hell.,Bedazzled,5.6,512
Released,It was the jazz age. It was an era of elegance and violence. The action was gambling. The stakes were life and death.,The Cotton Club,6.6,68
Released,Time waits for one man.,3:10 to Yuma,6.9,1188
Released,It Ends Here,Taken 3,6.1,2200
Released,Opposites attract.,Out of Sight,6.5,333
Released,There's no such thing as free cable.,The Cable Guy,5.7,594
Released,Their turf. Their game. Their rules. They didn't count on HIS law...,Dick Tracy,5.9,251
Released,How do you get the man who has everything?,The Thomas Crown Affair,6.6,339
Released,One day can make your life, one day can ruin your life. All life is is four or five big days that change everything.,Riding in Cars with Boys,6.5
Released,This time he's fighting for his life.,First Blood,7.2,1488
Released,Fairy Tale Endings Aren't What They Used To Be,Happily N'Ever After,4.6,104
Released,The untold story of Jekyll and Hyde,Mary Reilly,5.7,74
Released,It's about finding the love of your life. And deciding what to do about it.,My Best Friend's Wedding,6.3,584
Released,Hollywood's hottest couple just split up. It'll take more than special effects to reunite them.,America's Sweethearts,5.5,252
Released,A tough cop. A brilliant killer. An unspeakable crime.,Insomnia,6.8,1148
Released,Resistance is futile.,Star Trek: First Contact,7,661
Released,Revenge gets ugly.,Jonah Hex,4.4,420
Released,A medal for honor. A search for justice. A battle for truth.,Courage Under Fire,6.2,232
Released,Trust me.,Liar Liar,6.4,1424
Released,The true story of one man against the biggest drug cartel in history.,The Infiltrator,6.6,573
Released,LOVE. DESTINY. HEROES. War Changes Everything.,Inchon,6.5,2
Released,Yabba-Dabba-Doo!,The Flintstones,5,543
Released,First they took his daughter. Now they're coming for him.,Taken 2,6.1,2757
Released,Great trilogies come in threes.,Scary Movie 3,5.8,912
Released,Never Mess With An Agent In A Dress.,Miss Congeniality,6.1,961
Released,Same Planet. Different World.,Journey to the Center of the Earth,5.8,1309
Released,It can take a lifetime to find true love, she's got 30 days!,The Princess Diaries 2: Royal Engagement,6
Released,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,The Pelican Brief,6.3,371
Released,A district attorney out for a conviction. A new lawyer out of her league. A young boy who knew too much.,The Client,6.4,278
Released,Find the joy.,The Bucket List,7,1111
Released,Not for honor. Not for country. For his wife and child.,Patriot Games,6.3,433
Released,This relationship is going to be a real mother.,Monster-in-Law,5.6,406
Released,Every moment matters.,Prisoners,7.9,3085
Released,"The only thing more dangerous than the line being crossed, is the cop who will cross it.",Training Day,7.3,1634
Released,A comedy of Galactic Proportions.,Galaxy Quest,6.9,710
Released,No More Mercy. No More Shame. No More Sequels - Honest! - We Lied.,Scary Movie 2,5.4,982
Released,They're closer than you think.,The Muppets,6.5,501
Released,Part Man. Part Vampire. All Hero.,Blade,6.5,1905
Released,It begins on the street. It ends here.,Coach Carter,7.3,496
Released,"An ambitious lawyer, a desperate father, they had no reason to meet, until today,",Changing Lanes,5.9,299
Released,When You Can't Breathe You Can't Scream.,Anaconda,4.7,610
Released,This party never ends.,Coyote Ugly,5.8,575
Released,The ultimate romantic comedy.,Love Actually,7,1869
Released,An epic presentation of miniature proportions.,A Bug's Life,6.8,2303
Released,Only the legend will survive.,From Hell,6.6,741
Released,The government taught him to kill. Now he's using his skills to help a woman seek revenge against the Miami underworld.,The Specialist,5.5,313
Released,Golf Pro. Love Amateur.,Tin Cup,5.9,150
Released,Their wedding night set new attendence records,"Yours, Mine and Ours",6.2,26
Released,One man could lead this team to glory. . . That man was busy,Kicking & Screaming,5.6,176
Released,Don't leave Earth without it.,The Hitchhiker's Guide to the Galaxy,6.6,1315
Released,,Fat Albert,4.3,69
Released,The Extinction Is Coming...,Resident Evil: Extinction,6.1,1292
Released,"Single Dad, No Clue. Single Mum, Flying Solo.",Blended,6.6,1006
Released,She always thought she was somebody special... and she was.,Last Holiday,6.4,119
Released,The vacation is over,The River Wild,6.1,210
Released,,The Indian in the Cupboard,5.9,134
Released,Young Beautiful Deadly.,Savages,6.2,766
Released,If the signal dies so does she,Cellular,6.1,537
Released,"He knows no fear, he knows no danger, he knows nothing.",Johnny English,6,852
Released,The battle for the lawn is on.,The Ant Bully,5.5,366
Released,"A world beyond your experience, beyond your imagination.",Dune,6.5,562
Released,All you need is love.,Across the Universe,7.1,410
Released,How do you break free without breaking apart?,Revolutionary Road,6.7,796
Released,"For a New York cop and his witness, the distance between life and death just got very short.",16 Blocks,6.2,661
Released,Kill or be Killed.,Babylon A.D.,5.4,676
Released,Two good cops. One bad situation.,The Glimmer Man,4.7,100
Released,"Sometimes to get more out of life, you have to make more of yourself.",Multiplicity,5.5,154
Released,The aliens vs. the Pearsons,Aliens in the Attic,5.3,244
Released,,The Pledge,6.5,215
Released,,The Producers,6.1,151
Released,Slam Evil!,The Phantom,4.7,136
Released,Some passions can never be tamed.,All the Pretty Horses,5.8,60
Released,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,7.1,71
Released,Read between the lies.,The Ghost Writer,6.7,670
Released,Full Scream Ahead,Deep Rising,6,154
Released,,Miracle at St. Anna,6.3,90
Released,There's only one way out.,Bangkok Dangerous,5,332
Released,They have forty-five minutes to save the world. They need forty-six.,Big Trouble,6.3,80
Released,How long would you wait for love?,Love in the Time of Cholera,6.4,81
Released,,Shadow Conspiracy,4,11
Released,One man. One mission. No chance.,Johnny English Reborn,6,1007
Released,When good food... goes bad!,Foodfight!,2.3,28
Released,The movie was fake. The mission was real.,Argo,7.1,3423
Released,A murdered wife. A one-armed man. An obsessed detective. The chase begins.,The Fugitive,7.2,1220
Released,"It's a Job. It Isn't Personal. Well, Maybe a Little...",The Bounty Hunter,5.5,858
Released,When friendship runs deeper than blood.,Sleepers,7.3,715
Released,"What most people call hell, he calls home.",Rambo: First Blood Part II,6.3,864
Released,There is no defense.,The Juror,5.5,89
Released,For anyone who has ever wished upon a star.,Pinocchio,6.9,1355
Released,The only thing greater than their passion for America... was their passion for each other.,Heaven's Gate,6.4,55
Released,"My God. Brother, what have you done?",Underworld: Evolution,6.4,1528
Released,Discover the origin of the monster and his creation.,Victor Frankenstein,5.6,685
Released,"In an ordinary place, he found the one person to make his life extraordinary.",Finding Forrester,7,302
Released,The Life of the Party... before she got a life.,28 Days,6,208
Released,Serve No Master,Unleashed,6.6,518
Released,A romantic comedy without the sugar.,The Sweetest Thing,5.3,280
Released,Power can be murder to resist.,The Firm,6.6,501
Released,Life is for living.,Charlie St. Cloud,6.8,566
Released,Someone has to fix the problems.,The Mechanic,6.3,1045
Released,They thought the streets were mean. Then they went back to high school.,21 Jump Street,6.7,4074
Released,Can the most famous film star in the world fall for the man on the street?,Notting Hill,7,1262
Released,This ain't no chick flick. It's poultry in motion.,Chicken Run,6.5,1150
Released,"For the most cautious man on Earth, life is about to get interesting.",Along Came Polly,5.8,773
Released,A Player Who's About to be Played.,Boomerang,5.4,134
Released,Action's never been so hot!,The Heat,6.5,1575
Released,The motion picture the world has been waiting for!,Cleopatra,6.7,146
Released,No one will fight for his students like Mr. Voss.,Here Comes the Boom,6,593
Released,Everything you trust. Everything you know. May be a lie...,High Crimes,6.1,184
Released,A story about just how wrong two people can be before they can be right.,The Mirror Has Two Faces,6.5,47
Released,What do you see?,The Mothman Prophecies,6.1,305
Released,Borat was so 2006,Br�_no,5.4,518
Released,His bad side is a dangerous place to be.,Licence to Kill,5.9,541
Released,Who's afraid?,Red Riding Hood,5.6,922
Released,America Likes to Watch,15 Minutes,5.7,191
Released,This Ain't No Game.,Super Mario Bros.,4,232
Released,"Where there's a will, there's a weapon",Lord of War,7,1335
Released,She's looking for a few not-so-good men,One for the Money,5.3,388
Released,The Film Hackers Tried To Get Banned,The Interview,6.1,2304
Released,Assassin. Hero. Legend.,The Warrior's Way,6.3,136
Released,Every moment is another chance.,8 Mile,6.8,1626
Released,He Will Rock You,A Knight's Tale,6.6,907
Released,,The Medallion,5.3,281
Released,Not every gift is a blessing.,The Sixth Sense,7.7,3147
Released,You can only push an innocent man so far,Man on a Ledge,6.2,925
Released,Everyone is searching for something.,The Big Year,5.6,248
Released,Only the 'Old One' could teach him the secrets of the masters.,The Karate Kid,6.9,891
Released,Everyone Hustles To Survive,American Hustle,6.8,2807
Released,Here comes the bribe...,The Proposal,6.7,1804
Released,Murder isn't always a crime.,Double Jeopardy,6.2,278
Released,"Roads? Where we're going, we don't need roads!",Back to the Future Part II,7.4,3829
Released,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,Lucy,6.3,5878
Released,Are you curious?,Fifty Shades of Grey,5.2,3254
Released,3rd Mission. 3rd Dimension.,Spy Kids 3-D: Game Over,4.7,511
Released,Experience a time you'll never forget.,A Time to Kill,7,509
Released,Growing pains? They've got twelve of them!,Cheaper by the Dozen,6,699
Released,Based on True Acts of Courage,Lone Survivor,7.4,1526
Released,"To achieve the incredible, you have to attempt the impossible.",A League of Their Own,6.7,354
Released,The next true story from the case files of Ed and Lorraine Warren,The Conjuring 2,7,1949
Released,You don't get to 500 million friends without making a few enemies.,The Social Network,7.1,3391
Released,Are you the exception...or the rule?,He's Just Not That Into You,6.2,959
Released,Bury the grudge. Burn the village.  See the saw.,Scary Movie 4,5.3,750
Released,Someone has taken their love of trilogies one step too far.,Scream 3,5.7,736
Released,They've saved the best trip for last... But this time they may have gone too far.,Back to the Future Part III,7.1,2900
Released,An education in incarceration.,Get Hard,5.9,944
Released,Love never dies.,Dracula,7.1,1056
Released,Based on Two True Stories,Julie & Julia,6.6,560
Released,The True Story Of An American Legend,42,6.8,787
Released,How far would you go to become someone else?,The Talented Mr. Ripley,7,767
Released,The Second Parts Are More Fools,Dumb and Dumber To,5.4,1127
Released,"The Most Amazing Story Of Survival, Friendship, And Adventure Ever Told.",Eight Below,6.7,542
Released,Experience never gets old,The Intern,7.1,1881
Released,The brothers-in-law are back,Ride Along 2,6.1,555
Released,The first American hero.,The Last of the Mohicans,7.1,732
Released,The extraordinary life story of Ray Charles.,Ray,7.2,467
Released,Walk down the right back alley in Sin City and you can find anything...,Sin City,7.2,2691
Released,"8 Strangers, 8 points of view.  1 Truth.",Vantage Point,6.2,716
Released,He needed a best man... He got the worst.,"I Love You, Man",6.5,515
Released,Are You A Shallow Guy?,Shallow Hal,5.7,731
Released,The story that won�۪t go away.,JFK,7.5,502
Released,The momma of all comedies is back!!!,Big Momma's House 2,5.4,371
Released,Love with the safety off.,The Mexican,5.8,441
Released,Who says you're only young once?,17 Again,6.1,1350
Released,The oddest friends are about to get even,The Other Woman,6.2,1437
Released,Rest In Pieces,The Final Destination,5.4,831
Released,"In the shadow of war, one man showed the world what we stood for.",Bridge of Spies,7.2,2583
Released,His only weapon is his will to survive.,Behind Enemy Lines,6,457
Released,Aaron Green has 72 hours to get a Rock Star from London to L.A. Pray for him.,Get Him to the Greek,5.9,612
Released,Step out of the ordinary,Shall We Dance?,5.9,297
Released,"The few, the proud, and the small.",Small Soldiers,6.2,511
Released,Born in darkness. Sworn to justice.,Spawn,5,336
Released,Prepare for adventure. Count on revenge.,The Count of Monte Cristo,7.3,453
Released,This Case is a Dangerous Game of Life and Death,The Lincoln Lawyer,7,902
Released,Take Back Your Life,Unknown,6.5,1265
Released,Are You Watching Closely?,The Prestige,8,4391
Released,New Crime. Same Tools.,Horrible Bosses 2,6.1,1536
Released,Earth's greatest secrets are about to break out!,Escape from Planet Earth,5.7,332
Released,No one can outrun their destiny.,Apocalypto,7.3,1221
Released,Licensed to thrill.,The Living Daylights,6.2,440
Released,Fear is Reborn,Predators,6,1206
Released,Tom Logan has a law partner who put a dog on the witness stand. A client who can't enter a room without a crime being committed. And a case that could turn out to be the murder of the year. His.,Legal Eagles,5.8,51
Released,The most important part of a story is the ending.,Secret Window,6.4,972
Released,How do you hold on to someone you've never met?,The Lake House,6.5,670
Released,Fearing Is Believing,The Skeleton Key,6.4,573
Released,He's a force of nature.,The Odd Life of Timothy Green,6.5,386
Released,He'll do anything to get the groom out of the picture.,Made of Honor,6,394
Released,,Jersey Boys,6.8,255
Released,They were totally unqualified to try the case of a lifetime... but every underdog has his day.,The Rainmaker,6.7,235
Released,Because someone is dead doesn't mean they're gone.,Gothika,5.8,629
Released,Freedom is not given. It is our right at birth. But there are some moments when it must be taken.,Amistad,6.8,316
Released,He turned his back on civilization. Only to discover he had the power to save it.,Medicine Man,5.8,114
Released,The Last Place On Earth We Want To Be Is In The Middle,Aliens vs Predator: Requiem,4.9,740
Released,An adventure so big... even the world's richest kid can't afford to miss it!,Ri�hie Ri�h,5.4,415
Released,He fell in love for the first time. She fell in love forever.,Autumn in New York,5.7,135
Released,Share the music with someone you love.,Music and Lyrics,6.2,554
Released,Who's up for a close encounter?,Paul,6.5,1789
Released,Get ready for one mother of a road trip,The Guilt Trip,5.4,284
Released,New Decade. New Rules.,Scream 4,6.1,902
Released,You can't prepare for where the truth will take you.,8MM,6.1,474
Released,"The Ultimate Story of Sex, Drugs & Rock 'N' Roll",The Doors,6.7,275
Released,A movie about a movie they don't want you to see.,Sex Tape,5.3,1695
Released,Every family has a few hang-ups.,Hanging Up,5,40
Released,We all share a common destination.,Final Destination 5,5.9,866
Released,A romantic comedy you can't refuse,Mickey Blue Eyes,5.3,140
Released,"When someone does you a big favor, don't pay it back... Pay It Forward",Pay It Forward,7,432
Released,A Comedy About The Game of Love.,Fever Pitch,5.9,182
Released,You get what you pay for,Drillbit Taylor,5.5,275
Released,Bring protection.,A Million Ways to Die in the West,5.8,1468
Released,The Shadow Knows!,The Shadow,5.4,138
Released,"This is not a story about September 11th, it's a story about every day after.",Extremely Loud & Incredibly Close,6.9,708
Released,Breakfast TV just got interesting.,Morning Glory,6.1,412
Released,If You Think You Know the Story...You Don't Know the Man.,Get Rich or Die Tryin',6.3,186
Released,Who is your foe?,The Art of War,5.6,135
Released,No day but today.,Rent,6.7,155
Released,Mankind's last hope just turned six.,Bless the Child,4.9,71
Released,"They fell in love 24 years ago... and in the next 24 hours, they'll remember why.",The Out-of-Towners,5,45
Released,The gates of hell are unlocked.,The Island of Dr. Moreau,4.6,147
Released,As you've never seen it before.,The Musketeer,5.2,56
Released,Two sisters divided for the love of a king.,The Other Boleyn Girl,6.4,477
Released,She Just Needed A Month To Change His Life For Ever.,Sweet November,6.4,278
Released,What Hath God Wrought?,The Reaping,5.4,205
Released,You don't make up for your sins in church. You do it in the streets...,Mean Streets,7.2,345
Released,"One Man's Mission To Teach The Few, The Proud... The Impossible!",Renaissance Man,5.9,81
Released,Revenge is beautiful.,Colombiana,6.5,824
Released,An evil knight gives nobility a bad name.,Quest for Camelot,6.9,190
Released,When you're searching for a killer... the last suspect you want to see is your son.,City By The Sea,5.7,92
Released,Science gave him sight. She gave him vision.,At First Sight,5.9,48
Released,Circuit of Fire,Torque,4.7,119
Released,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.,City Hall,6,67
Released,Beyond your wildest dreams. Beyond your wildest fantasies.,Showgirls,4.9,256
Released,Rumor. Scandal. Fame. Revolution.,Marie Antoinette,6.5,642
Released,,Kiss of Death,5.7,81
Released,The Truth Hurts,Get Carter,4.8,145
Released,Nothing is more powerful than the human spirit.,The Impossible,7,2025
Released,,Ishtar,4.2,28
Released,Dig the life fantastic!,Fantastic Mr. Fox,7.5,1176
Released,,Life or Something Like It,5.7,124
Released,An adventure like you've never seen.,Memoirs of an Invisible Man,5.7,125
Released,,New York Minute,5.5,185
Released,Meet a man who never met a woman he didn't love.,Alfie,5.6,248
Released,A family of whales trapped beneath the ice. One unforgettable rescue.,Big Miracle,6.6,152
Released,The search for her son was over. The search for her family was just beginning.,The Deep End of the Ocean,5.9,54
Released,The last site you'll ever see.,FearDotCom,3.2,105
Released,Meet Darren. He's sixteen going on immortal.,Cirque du Freak: The Vampire's Assistant,5.5,348
Released,,Duplex,5.9,482
Released,,Soul Men,6.3,47
Released,They've found the Titanic. There's just one thing left to do...,Raise the Titanic,5.2,21
Released,Prepare to become obsolete,Universal Soldier: The Return,4.2,135
Released,Don't fear the end of the world. Fear what happens next.,Pandorum,6.5,774
Released,"In the Future, not everyone is who they seem to be.",Impostor,6.1,135
Released,Fear is a trigger,Extreme Ops,5,28
Released,"They're not just from another time, they're from France.",Just Visiting,4.8,171
Released,"If the sun dies, so do we.",Sunshine,7,1182
Released,He only has 1000 words left to discover what matters the most.,A Thousand Words,6,373
Released,,Delgo,5.4,15
Released,Armed With the Truth.,The Gunman,5.5,392
Released,Rule the school. Save the world.,Stormbreaker,5.1,213
Released,"The quieter the street, the darker the secrets....",Disturbia,6.6,1006
Released,"There is no right or wrong, only fun and boring",Hackers,6.2,398
Released,How can they find the world's most wanted war criminal when the C.I.A. can't? [by actually looking],The Hunting Party,6.6,96
Released,They took him for a fall guy... but he threw them for a hoop.,The Hudsucker Proxy,7.1,275
Released,Courage know no limit,Nomad: The Warrior,4.3,17
Released,,The Last Shot,5.9,15
Released,Real love is forever.,The Crow,7.3,953
Released,,The Time Traveler's Wife,6.7,798
Released,"She's just your normal, overprotective, overbearing, over-the-top mother.",Because I Said So,5.8,191
Released,The electrifying dog is back from beyond the grave,Frankenweenie,6.6,932
Released,Can't stop the signal.,Serenity,7.4,1264
Released,,Against the Ropes,4.5,32
Released,If the world's most powerful computer can control even Superman...no one on earth is safe.,Superman III,5.3,490
Released,DeNiro vs Stallone,Grudge Match,6,433
Released,Sometimes What You're Looking For Is Right Where You Left It.,Sweet Home Alabama,6,394
Released,The battle of the sexes is on.,The Ugly Truth,6.4,972
Released,All he ever wanted was an honest week's pay for an honest day's work.,Sgt. Bilko,5.5,94
Released,Little Spies. Big Attitudes,Spy Kids 2: The Island of Lost Dreams,5.3,521
Released,Boldly go.,Star Trek: Generations,6.4,452
Released,Life is the most spectacular show on earth.,Water for Elephants,6.7,850
Released,His greatest fight was for justice.,The Hurricane,7.2,396
Released,Everyone has a limit.,Enough,6.2,264
Released,Caution: Dangerous Curves Ahead,Heartbreakers,5.7,254
Released,Vegas has a new high roller.,Paul Blart: Mall Cop 2,5,567
Released,"The deeper you look, the more you will find.",Angel Eyes,5.6,88
Released,Someone just picked on the wrong nobody.,Joe Somebody,5.5,40
Released,Every book has a life of its own.,The Ninth Gate,6.3,756
Released,Not all surgery is intended to cure.,Extreme Measures,5.7,80
Released,The story of a wanna be who got to be.,Rock Star,6,190
Released,Life is hard. Life is short. Life is painful. Life is rich. Life is....Precious.,Precious,6.9,417
Released,,White Squall,6.3,86
Released,Man is The Warmest Place to Hide.,The Thing,7.8,1588
Released,Survival Is His Revenge,Riddick,6.2,2035
Released,The hunter becomes the hunted.,Switchback,5.8,52
Released,,Texas Rangers,5.4,19
Released,Escape is the only option,City of Ember,6.2,605
Released,Every Man Needs a Guide,The Master,7,701
Released,Anything Can Happen When You're In ... Virgin Territory,Virgin Territory,4.3,75
Released,He changed our country... one yard at a time.,The Express,7.1,71
Released,Protect Your Own,The 5th Wave,5.6,1945
Released,Your legacy is more than a name,Creed,7.3,1915
Released,Welcome to the bank robbery capital of America.,The Town,7,1468
Released,It's too late to pull out now.,What to Expect When You're Expecting,5.8,594
Released,Intelligence is relative.,Burn After Reading,6.5,1222
Released,Your adventure starts here.,Nim's Island,5.6,330
Released,Everyone's driven by something.,Rush,7.7,2277
Released,"Things fall down. People look up. And when it rains, it pours.",Magnolia,7.5,825
